organism,ncols,nrows,time,model
P. aeruginosa iMO1086,1136,1021,NA,COBRA
S. cerevisiae iND750,1266,1061,NA,COBRA
L. major iAC560,1112,1101,NA,COBRA
C. reinhardtii iRC1086,2209,1707,NA,COBRA
P. aeruginosa iMO1086,3887,5674,25.7894,TIGER v1.3
S. cerevisiae iND750,3214,4498,20.6258,TIGER v1.3
L. major iAC560,2660,3994,19.8362,TIGER v1.3
C. reinhardtii iRC1086,7067,11834,69.7841,TIGER v1.3
P. aeruginosa iMO1086,2678,3436,2.0521,TIGER v1.4
S. cerevisiae iND750,2292,2959,0.9746,TIGER v1.4
L. major iAC560,1954,2708,0.91,TIGER v1.4
C. reinhardtii iRC1086,4714,6671,7.7355,TIGER v1.4
